Address,ASRL1::INSTR
Model,34401A
Serial Number:,0
Firmware Version,11-5-2
Start Time,2021-05-04 13:19:28.842
Stop Time,2021-05-04 13:21:25.841
Sample Count,2792
Auto Range:,On
Measurement:,AC Voltage
Range(VAC):,10
Resolution(VAC):,0.0001
,
Time (s),Channel 1 (VAC)
2021-05-04 13:20:21.314,1.2312179
2021-05-04 13:20:21.355,1.2312515
2021-05-04 13:20:21.395,1.2312494
2021-05-04 13:20:21.436,1.231428
2021-05-04 13:20:21.476,1.2316255
2021-05-04 13:20:21.516,1.2318377
2021-05-04 13:20:21.556,1.2320058
2021-05-04 13:20:21.596,1.2320584
2021-05-04 13:20:21.638,1.2321508
2021-05-04 13:20:21.678,1.2323399
2021-05-04 13:20:21.719,1.2325206
2021-05-04 13:20:21.759,1.2326173
2021-05-04 13:20:21.800,1.2326572
2021-05-04 13:20:21.840,1.2326656
2021-05-04 13:20:21.881,1.2326089
2021-05-04 13:20:21.922,1.2323862
2021-05-04 13:20:21.963,1.2323462
2021-05-04 13:20:22.003,1.2326446
2021-05-04 13:20:22.044,1.2329955
2021-05-04 13:20:22.084,1.2330565
2021-05-04 13:20:22.124,1.232756
2021-05-04 13:20:22.164,1.2323883
2021-05-04 13:20:22.205,1.2319407
2021-05-04 13:20:22.246,1.2312683
2021-05-04 13:20:22.286,1.2306232
2021-05-04 13:20:22.327,1.2302198
2021-05-04 13:20:22.368,1.2302849
2021-05-04 13:20:22.409,1.2309237
2021-05-04 13:20:22.449,1.2316885
2021-05-04 13:20:22.490,1.2322391
2021-05-04 13:20:22.530,1.2322139
2021-05-04 13:20:22.571,1.2318314
2021-05-04 13:20:22.611,1.2314679
2021-05-04 13:20:22.651,1.2312935
2021-05-04 13:20:22.692,1.231386
2021-05-04 13:20:22.732,1.231491
2021-05-04 13:20:22.772,1.2313965
2021-05-04 13:20:22.813,1.2312914
2021-05-04 13:20:22.854,1.2311044
2021-05-04 13:20:22.894,1.2307913
2021-05-04 13:20:22.935,1.2304929
2021-05-04 13:20:22.976,1.2303774
2021-05-04 13:20:23.017,1.2306736
2021-05-04 13:20:23.058,1.2311464
2021-05-04 13:20:23.099,1.2314448
2021-05-04 13:20:23.139,1.2313776
2021-05-04 13:20:23.180,1.2311443
2021-05-04 13:20:23.221,1.2310729
2021-05-04 13:20:23.261,1.2312242
2021-05-04 13:20:23.301,1.2313355
2021-05-04 13:20:23.341,1.2312452
2021-05-04 13:20:23.382,1.2311191
2021-05-04 13:20:23.423,1.2310666
2021-05-04 13:20:23.464,1.2311506
2021-05-04 13:20:23.504,1.2313124
2021-05-04 13:20:23.545,1.2314847
2021-05-04 13:20:23.587,1.231636
2021-05-04 13:20:23.628,1.231636
2021-05-04 13:20:23.669,1.23147
2021-05-04 13:20:23.710,1.2312704
2021-05-04 13:20:23.750,1.2312221
2021-05-04 13:20:23.790,1.2313103
2021-05-04 13:20:23.831,1.2314658
2021-05-04 13:20:23.871,1.2318903
2021-05-04 13:20:23.912,1.2323189
2021-05-04 13:20:23.953,1.2323084
2021-05-04 13:20:23.994,1.2319869
2021-05-04 13:20:24.035,1.2317222
2021-05-04 13:20:24.076,1.2315099
2021-05-04 13:20:24.116,1.2313713
2021-05-04 13:20:24.157,1.2313629
2021-05-04 13:20:24.198,1.2312872
2021-05-04 13:20:24.239,1.2310561
2021-05-04 13:20:24.279,1.2306968
2021-05-04 13:20:24.320,1.2304845
2021-05-04 13:20:24.361,1.2304908
2021-05-04 13:20:24.401,1.2305013
2021-05-04 13:20:24.442,1.2304614
2021-05-04 13:20:24.482,1.2304488
2021-05-04 13:20:24.522,1.2306169
2021-05-04 13:20:24.562,1.2309342
2021-05-04 13:20:24.603,1.2311969
2021-05-04 13:20:24.643,1.2312851
2021-05-04 13:20:24.684,1.2314007
2021-05-04 13:20:24.726,1.2316339
2021-05-04 13:20:24.767,1.2318083
2021-05-04 13:20:24.807,1.231718
2021-05-04 13:20:24.848,1.2312263
2021-05-04 13:20:24.888,1.230661
2021-05-04 13:20:24.929,1.2302975
2021-05-04 13:20:24.969,1.2301504
2021-05-04 13:20:25.009,1.2302324
2021-05-04 13:20:25.049,1.2305013
2021-05-04 13:20:25.091,1.230867
2021-05-04 13:20:25.132,1.2312515
2021-05-04 13:20:25.172,1.2314763
2021-05-04 13:20:25.213,1.2317012
2021-05-04 13:20:25.253,1.231823
2021-05-04 13:20:25.294,1.231678
2021-05-04 13:20:25.335,1.2312347
2021-05-04 13:20:25.376,1.2306547
2021-05-04 13:20:25.417,1.2305076
2021-05-04 13:20:25.458,1.2308438
2021-05-04 13:20:25.499,1.2311821
2021-05-04 13:20:25.539,1.2314322
2021-05-04 13:20:25.579,1.2315289
2021-05-04 13:20:25.619,1.2315162
2021-05-04 13:20:25.660,1.2317621
2021-05-04 13:20:25.701,1.2325585
2021-05-04 13:20:25.742,1.2335356
2021-05-04 13:20:25.782,1.234229
2021-05-04 13:20:25.823,1.2342962
2021-05-04 13:20:25.864,1.2339159
2021-05-04 13:20:25.905,1.2334809
2021-05-04 13:20:25.945,1.2331153
2021-05-04 13:20:25.986,1.2328863
2021-05-04 13:20:26.026,1.2328127
2021-05-04 13:20:26.067,1.2326509
2021-05-04 13:20:26.107,1.2322895
2021-05-04 13:20:26.147,1.2319743
2021-05-04 13:20:26.188,1.2317558
2021-05-04 13:20:26.229,1.2313776
2021-05-04 13:20:26.270,1.230827
2021-05-04 13:20:26.311,1.2305392
2021-05-04 13:20:26.352,1.2306862
2021-05-04 13:20:26.393,1.2309741
2021-05-04 13:20:26.434,1.2311464
2021-05-04 13:20:26.474,1.2311674
2021-05-04 13:20:26.515,1.2312599
2021-05-04 13:20:26.556,1.2316696
2021-05-04 13:20:26.597,1.2323189
2021-05-04 13:20:26.638,1.2328085
2021-05-04 13:20:26.679,1.2329682
2021-05-04 13:20:26.719,1.2328653
2021-05-04 13:20:26.759,1.2325543
2021-05-04 13:20:26.800,1.2320689
2021-05-04 13:20:26.840,1.2316045
2021-05-04 13:20:26.881,1.2311863
2021-05-04 13:20:26.922,1.2306989
2021-05-04 13:20:26.963,1.2304887
2021-05-04 13:20:27.004,1.2306442
2021-05-04 13:20:27.045,1.2309846
2021-05-04 13:20:27.086,1.2313797
2021-05-04 13:20:27.127,1.2317264
2021-05-04 13:20:27.167,1.2320037
2021-05-04 13:20:27.208,1.2319323
2021-05-04 13:20:27.248,1.2315289
2021-05-04 13:20:27.288,1.2311149
2021-05-04 13:20:27.328,1.2309447
2021-05-04 13:20:27.368,1.2309972
2021-05-04 13:20:27.409,1.2310708
2021-05-04 13:20:27.449,1.2311611
2021-05-04 13:20:27.490,1.2314238
2021-05-04 13:20:27.531,1.2316528
2021-05-04 13:20:27.572,1.231781
2021-05-04 13:20:27.613,1.2319323
2021-05-04 13:20:27.654,1.2320668
2021-05-04 13:20:27.694,1.232092
2021-05-04 13:20:27.735,1.2318524
2021-05-04 13:20:27.777,1.2314889
2021-05-04 13:20:27.818,1.231096
2021-05-04 13:20:27.858,1.2308522
2021-05-04 13:20:27.898,1.2308354
2021-05-04 13:20:27.938,1.2311905
2021-05-04 13:20:27.979,1.231823
2021-05-04 13:20:28.019,1.232321
2021-05-04 13:20:28.060,1.2323315
2021-05-04 13:20:28.101,1.2318882
2021-05-04 13:20:28.142,1.2313965
2021-05-04 13:20:28.184,1.2311086
2021-05-04 13:20:28.225,1.2310666
2021-05-04 13:20:28.266,1.2311485
2021-05-04 13:20:28.306,1.231117
2021-05-04 13:20:28.347,1.230909
2021-05-04 13:20:28.388,1.2306022
2021-05-04 13:20:28.429,1.2302996
2021-05-04 13:20:28.469,1.2304446
2021-05-04 13:20:28.509,1.2310014
2021-05-04 13:20:28.550,1.2315919
2021-05-04 13:20:28.591,1.2319407
2021-05-04 13:20:28.631,1.231947
2021-05-04 13:20:28.672,1.231863
2021-05-04 13:20:28.713,1.2317285
2021-05-04 13:20:28.754,1.23147
2021-05-04 13:20:28.794,1.2315373
2021-05-04 13:20:28.835,1.2318419
2021-05-04 13:20:28.876,1.2323063
2021-05-04 13:20:28.917,1.2325879
2021-05-04 13:20:28.958,1.2325375
2021-05-04 13:20:28.999,1.2323883
2021-05-04 13:20:29.040,1.2325501
2021-05-04 13:20:29.080,1.2325984
2021-05-04 13:20:29.120,1.2321865
2021-05-04 13:20:29.160,1.2317201
2021-05-04 13:20:29.200,1.2312893
2021-05-04 13:20:29.240,1.2311969
2021-05-04 13:20:29.282,1.2312977
2021-05-04 13:20:29.323,1.2312557
2021-05-04 13:20:29.364,1.2309384
2021-05-04 13:20:29.404,1.2304341
2021-05-04 13:20:29.445,1.2301336
2021-05-04 13:20:29.485,1.2302534
2021-05-04 13:20:29.526,1.2306484
2021-05-04 13:20:29.567,1.2310098
2021-05-04 13:20:29.607,1.2310687
2021-05-04 13:20:29.648,1.2308859
2021-05-04 13:20:29.688,1.2307283
2021-05-04 13:20:29.729,1.2307304
2021-05-04 13:20:29.769,1.2309111
2021-05-04 13:20:29.810,1.2313019
2021-05-04 13:20:29.850,1.2317306
2021-05-04 13:20:29.891,1.2322979
2021-05-04 13:20:29.931,1.2330985
2021-05-04 13:20:29.972,1.2338339
2021-05-04 13:20:30.012,1.2341891
2021-05-04 13:20:30.053,1.234126
2021-05-04 13:20:30.095,1.2338024
2021-05-04 13:20:30.136,1.2334494
2021-05-04 13:20:30.177,1.2332057
2021-05-04 13:20:30.217,1.2330733
2021-05-04 13:20:30.258,1.2328106
2021-05-04 13:20:30.298,1.2326257
2021-05-04 13:20:30.338,1.2328274
2021-05-04 13:20:30.378,1.2331657
2021-05-04 13:20:30.419,1.2331994
2021-05-04 13:20:30.459,1.2329892
2021-05-04 13:20:30.500,1.232798
2021-05-04 13:20:30.541,1.2328421
2021-05-04 13:20:30.582,1.2329514
2021-05-04 13:20:30.622,1.2328989
2021-05-04 13:20:30.663,1.2329073
2021-05-04 13:20:30.703,1.2330691
2021-05-04 13:20:30.744,1.2331615
2021-05-04 13:20:30.784,1.2330607
2021-05-04 13:20:30.824,1.2329451
2021-05-04 13:20:30.866,1.2330271
2021-05-04 13:20:30.906,1.23313
2021-05-04 13:20:30.947,1.2331111
2021-05-04 13:20:30.987,1.2329913
2021-05-04 13:20:31.027,1.2327854
2021-05-04 13:20:31.068,1.2326236
2021-05-04 13:20:31.109,1.2323799
2021-05-04 13:20:31.149,1.2320058
2021-05-04 13:20:31.190,1.231678
2021-05-04 13:20:31.231,1.231552
2021-05-04 13:20:31.272,1.2317726
2021-05-04 13:20:31.313,1.2322286
